trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
36	770092.415446	NaN	NaN	NaN	NaN	NaN	NaN	['r', 'y', 'g', 'm', 'k', 'j', 'z', 'b', 'u', 'd', 'x', 'v', 't', 'i', 'e', 'n', 'f', 'p', 'l', 'c', 'q', 'h', 'a', 'o', 'w', 's']
37	787657.735785	NaN	NaN	NaN	NaN	NaN	NaN	['x', 'i', 'v', 'h', 'e', 'w', 'n', 'a', 'l', 'u', 'm', 'o', 't', 'f', 'y', 'k', 'j', 'b', 'q', 'z', 'd', 'p', 'g', 's', 'c', 'r']
38	805194.947374	NaN	NaN	NaN	NaN	NaN	NaN	['t', 'j', 'g', 'e', 'm', 'y', 'q', 'd', 'p', 'o', 'w', 'u', 'i', 's', 'c', 'x', 'f', 'k', 'b', 'r', 'a', 'z', 'l', 'n', 'h', 'v']
39	822795.542276	NaN	NaN	NaN	NaN	NaN	NaN	['d', 'h', 'g', 's', 'r', 'e', 'j', 'm', 'y', 'f', 'q', 'w', 'i', 'c', 'b', 'k', 'z', 'n', 'u', 't', 'v', 'l', 'p', 'a', 'x', 'o']
40	840297.129448	NaN	NaN	NaN	NaN	NaN	NaN	['l', 'g', 'o', 'y', 'n', 'p', 'x', 'e', 'd', 'c', 'h', 's', 'v', 'z', 'i', 'b', 'j', 'm', 'w', 'a', 'k', 'q', 'f', 'r', 't', 'u']
41	859770.040377	NaN	NaN	NaN	NaN	NaN	NaN	['y', 'q', 'r', 's', 'n', 'u', 'a', 'f', 't', 'b', 'm', 'l', 'p', 'x', 'h', 'k', 'z', 'e', 'c', 'w', 'i', 'j', 'v', 'd', 'o', 'g']
42	878314.894718	NaN	NaN	NaN	NaN	NaN	NaN	['b', 'u', 'y', 'v', 'g', 'k', 'l', 'p', 't', 'o', 'w', 'z', 'h', 'x', 'r', 'a', 'q', 'm', 'j', 'i', 'e', 's', 'n', 'd', 'c', 'f']
43	895897.858375	NaN	NaN	NaN	NaN	NaN	NaN	['w', 'b', 'z', 'd', 'j', 'v', 'i', 'e', 'k', 'u', 't', 'm', 'g', 'q', 'o', 'r', 'f', 'l', 's', 'x', 'n', 'h', 'y', 'a', 'c', 'p']
44	917209.277798	NaN	NaN	NaN	NaN	NaN	NaN	['b', 'o', 'z', 't', 'q', 'n', 'w', 'u', 'r', 'f', 'c', 'e', 'l', 'm', 'a', 'x', 'v', 'i', 'h', 'g', 'y', 'd', 'k', 'p', 's', 'j']
45	935048.117128	NaN	NaN	NaN	NaN	NaN	NaN	['e', 'm', 'p', 'a', 'i', 'o', 'x', 't', 'c', 'u', 'z', 'd', 'k', 'h', 'b', 's', 'y', 'f', 'l', 'r', 'w', 'g', 'n', 'q', 'v', 'j']
