trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	113230.60783	120612.392962	121046.730411	120612.531816	0.138854007688	l	r	['m', 'y', 'p', 's', 'w', 'g', 'n', 'r', 'l', 'c', 'q', 'e']
2	127405.665908	139643.688844	140232.39784	139856.699344	213.010499778	c	c	['b', 'f', 'e', 't', 'y', 'x', 'g', 'i', 'u', 'h', 'z', 's', 'r', 'a', 'v', 'p', 'n', 'j', 'c', 'w', 'd', 'm']
3	146063.93412	151338.31779	151759.876142	151568.446272	230.128482217	k	k	['j', 'm', 's', 'e', 'k', 'q', 'z', 't']
4	161855.381438	175609.324288	176122.950696	175983.942138	374.617849622	a	a	['b', 'm', 'q', 's', 'p', 't', 'e', 'u', 'd', 'v', 'k', 'n', 'z', 'i', 'h', 'l', 'f', 'c', 'j', 'w', 'o', 'a', 'x', 'g', 'y']
5	180366.311361	186070.582813	186653.420699	186335.848	265.265187006	x	x	['c', 'i', 'f', 'r', 'y', 'x', 'h', 'a', 'g']
6	190798.82771	204092.892124	204547.185912	204303.363104	210.47098072	j	j	['f', 's', 'b', 'w', 'c', 'v', 'm', 'x', 'a', 'l', 'p', 'd', 'k', 'y', 't', 'o', 'z', 'n', 'i', 'e', 'j', 'q', 'r', 'h']
7	208300.942215	221136.176238	221581.956163	221247.030939	110.854700751	g	e	['n', 'x', 'o', 'u', 'a', 'p', 'v', 'b', 'y', 'h', 't', 'd', 'j', 'f', 'w', 's', 'z', 'l', 'e', 'g', 'm', 'c', 'i']
8	224940.83642	239737.542984	240305.746866	239918.698564	181.155579275	e	e	['x', 'l', 'c', 'u', 'n', 'z', 'd', 'f', 'w', 'a', 'g', 'v', 'p', 'o', 'y', 'q', 's', 'm', 'i', 'h', 'k', 't', 'r', 'e', 'j', 'b']
9	244094.173203	249799.332716	250384.396492	250126.53645	327.203733845	q	q	['h', 'a', 'b', 'o', 'z', 'q', 'k', 'm', 'x']
10	256142.472664	266913.158892	267363.944504	266990.081296	76.9224035508	t	c	['d', 'f', 'z', 'y', 'l', 'p', 'n', 's', 'r', 'a', 'u', 'b', 'w', 'h', 'c', 't', 'm', 'x', 'j']
11	270316.512579	284593.866215	285107.617591	284797.734687	203.868472654	p	p	['q', 'l', 'b', 'r', 's', 'y', 'v', 'z', 'w', 'a', 'e', 'n', 'u', 'f', 'c', 'k', 'd', 'i', 'x', 'h', 'j', 'm', 'p', 't', 'o', 'g']
12	288636.091417	296460.621305	296878.415507	296797.869919	337.248613875	w	w	['d', 'o', 't', 'e', 'a', 'f', 'y', 'k', 'u', 'w', 'm', 'b', 'q']
13	300124.185893	315497.705588	316036.82197	315741.088591	243.383002821	v	v	['a', 'd', 'r', 'g', 'q', 'l', 't', 'e', 'z', 'o', 'p', 'u', 's', 'j', 'h', 'i', 'w', 'c', 'm', 'y', 'n', 'k', 'x', 'f', 'v', 'b']
14	319707.801361	335088.929653	335627.117222	335372.667555	283.73790159	o	o	['j', 'g', 'm', 'd', 'l', 'n', 't', 'y', 'c', 'b', 'v', 'e', 'x', 'q', 's', 'i', 'u', 'h', 'f', 'z', 'k', 'p', 'r', 'a', 'o', 'w']
15	339019.40364	344293.461908	344715.316382	344556.499092	263.037183896	i	s	['v', 'k', 'j', 's', 'i', 'a', 'y', 'h']
16	348428.078756	360118.509179	360656.014552	360364.147352	245.638173019	l	l	['i', 'z', 'g', 'w', 'j', 'c', 'y', 'm', 'f', 't', 'u', 's', 'o', 'k', 'x', 'r', 'b', 'l', 'h', 'n', 'd']
17	364410.316309	377700.665473	378154.774223	377915.804665	215.139192087	k	l	['a', 'y', 'z', 'x', 'r', 'c', 'b', 'p', 'o', 'm', 'n', 'i', 't', 'g', 'v', 'w', 'h', 'd', 'e', 'l', 'k', 'j', 'u', 's']
18	381129.980633	386403.789265	386825.149902	386683.639255	279.849989375	s	s	['q', 'm', 'e', 'y', 's', 't', 'x', 'b']
