trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	150686.730266	158470.873863	158984.188755	158608.325143	137.451280355	e	l	['s', 'v', 'y', 'n', 'q', 'g', 'o', 't', 'l', 'e', 'm', 'z', 'c']
2	169167.039862	175868.041603	176463.964065	176303.819512	435.777908448	b	b	['e', 'y', 'p', 'u', 'a', 'r', 'h', 'b', 'q', 'z', 'v']
3	183805.637895	192630.992758	193230.935948	193007.473968	376.481210034	c	c	['g', 'e', 't', 'l', 'd', 'q', 'z', 'x', 'h', 'y', 'p', 'c', 'k', 'r', 'm']
4	199309.791441	209941.95329	210448.43264	210303.11528	361.161990708	c	c	['e', 'a', 'v', 'k', 'n', 'b', 'g', 'j', 'm', 'q', 'd', 'y', 'o', 'u', 'c', 'h', 'z', 's']
5	216124.7887	219660.644729	220177.877417	219663.015209	2.37047939649	y	return	['r', 'y', 'u', 'g', 'o']
6	227101.6357	232728.114797	233318.420614	233150.743231	422.62843392	g	g	['r', 'k', 'e', 'x', 'v', 'g', 'f', 'l', 'd']
7	238540.379953	244765.318616	245229.951896	245102.52829	337.209674381	x	x	['r', 's', 'a', 'n', 'd', 'l', 'x', 'y', 'h', 'v']
8	252285.876253	257383.414855	257904.754301	257774.140373	390.725518227	u	return	['e', 'q', 'd', 'v', 'u', 's', 't', 'r']
9	268171.855379	275476.384556	275948.299521	275805.844667	329.46011147	a	a	['u', 'z', 'h', 'j', 't', 'p', 'v', 'l', 'a', 'k', 'b', 'm']
10	281308.51157	293059.055515	293616.078932	293277.404951	218.349436374	s	s	['t', 'd', 'b', 'y', 'e', 'z', 'l', 'a', 'g', 'n', 'i', 'x', 'f', 'u', 'm', 'q', 's', 'v', 'h', 'r']
11	301531.966004	307159.637736	307750.671631	307661.18626	501.548524042	h	h	['g', 's', 'o', 'r', 'k', 'h', 'u', 'i', 'p']
12	313740.62826	322566.231852	323163.363249	323036.875398	470.643546066	j	j	['q', 'c', 'x', 'd', 'n', 'v', 'b', 'r', 'z', 'a', 'u', 'j', 'l', 'h', 'e']
13	331979.541069	340802.60635	341399.170559	340802.747317	0.140967003477	z	g	['j', 'u', 'q', 'o', 'e', 's', 'y', 'r', 'b', 'a', 'g', 'z', 'f', 'c', 'w']
14	348523.292458	357957.227532	358545.872534	357996.042359	38.8148267102	n	v	['i', 'w', 'j', 'l', 'y', 'd', 'o', 'f', 'm', 't', 'b', 'v', 'n', 'z', 'a', 'h']
15	372201.74793	381631.970471	382219.947465	381707.628398	75.6579265113	c	k	['s', 'b', 'e', 'p', 'o', 'g', 't', 'a', 'l', 'r', 'y', 'k', 'c', 'd', 'h', 'u']
16	389978.83714	398288.181834	398795.665159	398299.741732	11.5598979967	o	p	['j', 'a', 's', 'q', 'i', 'f', 'v', 'z', 'b', 'p', 'o', 'g', 't', 'd']
17	405481.343153	411108.663222	411699.230145	411594.968293	486.305070707	u	u	['k', 'g', 'v', 'x', 'b', 'u', 'a', 'f', 'e']
18	420218.552284	428006.226395	428519.966904	428266.769036	260.542641462	u	u	['z', 'k', 'i', 'x', 'o', 'h', 'b', 'e', 'w', 'u', 'v', 'r', 'g']
19	437513.355944	452054.269278	452586.986602	452570.157497	515.888218902	f	f	['o', 'k', 'y', 'd', 'v', 'z', 'j', 'a', 't', 'u', 'm', 'r', 'l', 'b', 'p', 'x', 'w', 'n', 's', 'g', 'c', 'f', 'h', 'e', 'i']
20	460120.293453	467908.105512	468421.713809	468185.809905	277.704393099	j	j	['i', 'h', 'a', 'p', 'd', 'r', 't', 'e', 'z', 'j', 'n', 's', 'b']
21	476055.807841	484364.635454	484871.429037	484665.633814	300.998360315	u	u	['n', 'q', 'o', 'w', 'v', 'm', 's', 'b', 'h', 'p', 'u', 'j', 'a', 'i']
22	488600.514907	495300.167651	495895.921375	495753.313479	453.145828101	b	b	['g', 'l', 'p', 's', 'e', 'k', 'r', 'b', 'w', 'o', 'h']
23	500231.820992	509662.211365	510251.480304	510249.057302	586.845937252	e	e	['r', 'd', 'i', 'z', 'u', 'p', 'n', 'v', 'j', 'c', 'y', 's', 'e', 'b', 'k', 'g']
24	516246.808471	526878.383208	527385.298138	527128.807317	250.424108437	m	j	['y', 'w', 'k', 'n', 's', 'e', 'd', 'l', 'b', 'x', 'v', 'c', 't', 'j', 'm', 'g', 'r', 'o']
25	534214.757042	544851.432551	545360.316792	544904.34438	52.9118289126	d	g	['r', 'v', 'p', 'z', 'c', 'b', 'q', 't', 'a', 'x', 'f', 'o', 'l', 'g', 'd', 'h', 'k', 'j']
26	550742.695072	553749.935705	554270.700416	554152.04544	402.109735719	t	t	['t', 'f', 'a', 'e']
27	561237.891025	565820.617526	566328.009087	566119.852139	299.234612561	s	s	['o', 'r', 't', 's', 'j', 'x', 'i']
28	573141.373604	584889.407914	585445.830939	585367.436984	478.029069992	p	p	['m', 'q', 'v', 'a', 'd', 's', 'y', 'e', 'b', 'n', 'h', 'o', 'g', 'u', 'l', 'z', 'p', 'f', 'k', 'r']
29	594870.481509	602656.987134	603170.588789	602679.050734	22.0635999652	j	b	['h', 'p', 'l', 'u', 's', 'r', 'c', 'd', 'b', 'j', 'a', 'q', 'z']
