trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	112023.33834	117553.736501	118139.458928	117866.903	313.166499237	u	return	['r', 'j', 'f', 'e', 's', 'u', 'h', 'y', 'a']
2	139928.336843	146930.256047	147437.544373	147274.439211	344.183164133	y	return	['h', 'n', 'e', 'v', 'u', 'q', 'i', 'p', 'y', 'a', 'r', 'f']
3	156729.443268	162258.157975	162842.241623	162266.127893	7.96991818483	t	return	['g', 'a', 'k', 'o', 'u', 't', 'f', 'c', 'h']
4	169926.808543	176507.857929	176920.844462	176665.814626	157.956696868	g	return	['f', 'z', 'q', 'k', 'x', 'm', 'h', 'g', 'u', 'w', 'c']
5	186775.703084	194747.135381	195324.65697	195017.360675	270.225293646	n	return	['l', 'x', 'e', 'k', 'y', 'v', 'g', 'i', 'u', 'a', 'n', 'h', 'o', 'd']
6	202040.398064	209042.591656	209550.276018	209369.15153	326.559873848	q	return	['s', 'g', 'm', 'k', 'c', 'a', 'i', 'v', 'q', 'l', 'z', 'o']
7	215896.278471	222478.315834	222891.993618	222584.890511	106.574676893	w	return	['f', 'y', 'a', 'o', 'b', 'u', 'd', 'w', 'k', 's', 'q']
8	231207.117053	235756.934248	236304.433488	236248.536298	491.602049244	a	return	['m', 'j', 'x', 'a', 'w', 'o', 'b']
9	243206.703207	249329.559422	249780.02084	249352.205002	22.6455793714	p	return	['o', 'i', 'm', 'v', 'n', 'b', 'p', 'y', 'j', 'g']
10	257766.539323	263294.599304	263878.642805	263767.980387	473.381083013	e	return	['j', 'g', 'l', 'u', 'y', 'e', 'v', 'm', 'q']
11	269686.901418	275808.915152	276259.16044	276071.690022	262.774870564	i	return	['u', 'p', 'q', 'd', 'y', 'c', 'i', 't', 'j', 'x']
12	284406.430812	291410.747059	291917.860006	291447.45553	36.7084717848	s	return	['e', 'm', 'j', 'h', 'd', 'b', 'i', 'k', 's', 'c', 'x', 'y']
13	297557.641619	304138.936415	304553.584365	304139.07708	0.140665146871	z	return	['w', 'l', 'r', 'j', 'u', 'x', 'c', 'z', 'a', 't', 'b']
14	308884.867388	313991.701964	314405.846418	314246.980227	255.278263431	a	return	['d', 'g', 'z', 'f', 'a', 'k', 'x', 'b']
15	319797.334426	326800.36416	327307.434545	327030.605234	230.241074706	c	return	['l', 'h', 'b', 'v', 'g', 'f', 'z', 'k', 'c', 'j', 'q', 's']
16	335444.375085	341565.622706	342016.05424	341654.323853	88.7011475378	a	return	['k', 'r', 'i', 'b', 'n', 's', 'a', 'f', 'j', 'l']
17	345940.414727	351047.52701	351460.47732	351078.217066	30.6900561212	z	return	['k', 'j', 'x', 'o', 'z', 'f', 'c', 'q']
18	355683.879835	361803.164181	362253.946774	361893.933046	90.7688648262	x	return	['p', 'b', 'y', 'z', 'i', 'f', 'x', 'j', 'c', 'u']
