trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
35	781276.862074	NaN	NaN	NaN	NaN	NaN	NaN	['i', 'a', 's', 'n', 'b', 'e', 'u', 'o', 'h', 't', 'p', 'w', 'l', 'm', 'y', 'j', 'f', 'v', 'd', 'q', 'g', 'z', 'r', 'k', 'c', 'x']
36	799131.708651	NaN	NaN	NaN	NaN	NaN	NaN	['f', 'g', 'm', 'j', 's', 'c', 'o', 'x', 't', 'w', 'q', 'k', 'i', 'b', 'd', 'h', 'v', 'l', 'a', 'n', 'e', 'z', 'u', 'r', 'p', 'y']
37	821275.335878	NaN	NaN	NaN	NaN	NaN	NaN	['s', 'k', 'h', 'n', 'f', 'd', 'i', 't', 'e', 'u', 'g', 'j', 'c', 'p', 'a', 'o', 'v', 'q', 'w', 'b', 'z', 'r', 'y', 'x', 'm', 'l']
38	839225.40941	NaN	NaN	NaN	NaN	NaN	NaN	['r', 'u', 'p', 'q', 's', 'g', 'l', 'd', 'y', 'z', 'b', 'f', 'w', 'v', 'm', 'n', 'j', 'i', 'e', 'a', 'h', 'x', 'o', 'c', 'k', 't']
39	857035.247699	NaN	NaN	NaN	NaN	NaN	NaN	['p', 'm', 'q', 'k', 'c', 'j', 'l', 'e', 'x', 't', 's', 'g', 'a', 'f', 'w', 'v', 'h', 'o', 'i', 'd', 'n', 'z', 'u', 'r', 'y', 'b']
40	875466.022823	NaN	NaN	NaN	NaN	NaN	NaN	['o', 'q', 'i', 'f', 'e', 'y', 'j', 'h', 's', 'd', 'l', 'x', 'k', 'v', 'n', 'b', 'a', 'w', 'c', 'r', 'g', 'z', 'p', 'u', 't', 'm']
41	895881.132102	NaN	NaN	NaN	NaN	NaN	NaN	['m', 'a', 'j', 'v', 'i', 'h', 'b', 'n', 'w', 's', 'k', 'p', 'c', 'r', 'q', 'd', 'u', 'z', 'f', 'y', 'o', 't', 'g', 'l', 'e', 'x']
42	913864.647315	NaN	NaN	NaN	NaN	NaN	NaN	['t', 'a', 'l', 'c', 'v', 'y', 'd', 'j', 'z', 'i', 'e', 'f', 'u', 'w', 'm', 'p', 'h', 'n', 'k', 'o', 'q', 'g', 'b', 's', 'x', 'r']
43	931753.667881	NaN	NaN	NaN	NaN	NaN	NaN	['n', 'a', 't', 'j', 'f', 'q', 'x', 'h', 'u', 'd', 'r', 'k', 'c', 'p', 'o', 'e', 'l', 'v', 's', 'z', 'y', 'w', 'i', 'b', 'g', 'm']
44	949992.817884	NaN	NaN	NaN	NaN	NaN	NaN	['y', 'c', 'q', 'l', 'x', 'u', 'j', 'r', 'v', 'm', 's', 'h', 'w', 'i', 'g', 'z', 'f', 'a', 'k', 't', 'n', 'd', 'e', 'b', 'o', 'p']
45	970057.318979	NaN	NaN	NaN	NaN	NaN	NaN	['p', 't', 'u', 'n', 's', 'h', 'r', 'v', 'i', 'k', 'g', 'c', 'q', 'w', 'e', 'd', 'b', 'a', 'j', 'o', 'y', 'f', 'x', 'm', 'l', 'z']
