trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	291523.404145	NaN	NaN	NaN	NaN	NaN	NaN	['s', 'm', 'p', 'r', 'u', 'a', 'f', 'w', 'h', 'k', 'c', 'e', 'j', 'n', 'z', 'd', 'x', 'g', 'v', 'i', 'b', 't', 'o', 'q', 'l', 'y']
2	312210.438682	317537.252719	318094.37756	317748.702922	211.450203331	p	return	['d', 'n', 'v', 'a', 'x', 'p', 'y', 'k', 'h']
3	334658.980896	338980.190061	339448.501463	339284.289997	304.099936248	i	return	['d', 'a', 'r', 'i', 'w', 'b', 'k']
4	347026.522927	351821.477515	352343.870743	352227.99979	406.522274598	j	return	['o', 'u', 'i', 'd', 'j', 'a', 't', 'z']
5	361170.442691	365967.375345	366489.508976	366291.721101	324.345756139	y	return	['x', 'k', 's', 'c', 'y', 'h', 'p', 'l']
6	371298.834049	376094.698735	376615.942191	376163.519913	68.8211777718	p	return	['k', 'r', 'y', 'i', 'p', 'z', 'c', 'f']
7	384689.364266	388557.658221	389003.657898	388947.342334	389.68411317	z	return	['o', 'j', 'z', 'i', 'f', 'w']
8	395729.17039	400049.71215	400516.890081	400515.082866	465.370716052	f	return	['j', 'd', 'l', 'f', 'e', 'p', 'r']
9	404338.224214	409665.360936	410222.39854	409890.814264	225.453328149	b	return	['f', 'k', 'p', 'd', 'g', 'b', 'a', 'u', 'z']
10	414593.382942	418914.409786	419380.797759	419154.669781	240.259995074	c	return	['q', 'l', 'm', 'c', 'b', 'i', 'o']
11	424962.001997	430288.99745	430846.296462	430594.815855	305.818405521	h	return	['k', 'p', 'j', 't', 'u', 'h', 's', 'g', 'f']
12	436817.186323	441613.026257	442137.008457	441906.156726	293.13046964	m	return	['h', 'f', 'a', 'n', 'm', 'l', 'k', 'y']
13	446929.583812	451725.715943	452247.236503	451793.965707	68.2497633445	s	return	['g', 'p', 'e', 'h', 's', 'q', 'z', 'w']
14	456401.330946	461198.37408	461720.665582	461425.811813	227.437733033	b	return	['j', 's', 'f', 'y', 'b', 'g', 'a', 'n']
15	465951.535725	470272.409226	470740.248525	470353.836536	81.4273105307	e	return	['b', 'k', 'o', 'e', 's', 'f', 'r']
16	475199.821482	479996.20355	480518.419286	480401.387695	405.184144563	n	return	['w', 'p', 'j', 'i', 'n', 'g', 'y', 'h']
17	484350.485929	488671.603631	489139.049309	488721.196547	49.5929162722	v	return	['p', 'c', 'o', 'v', 's', 'y', 'a']
18	493039.800086	497361.046682	497827.224864	497665.082926	304.036244518	q	return	['d', 'j', 'i', 'q', 'g', 'l', 'e']
19	501552.41618	505873.571011	506338.544182	506304.995846	431.424835307	u	return	['a', 'k', 't', 'u', 'n', 'f', 'h']
20	510158.679945	515487.909438	516045.024619	515632.673495	144.764056855	t	return	['w', 'v', 'n', 'a', 'k', 't', 'e', 'f', 'c']
21	519680.093044	523550.38529	523994.368866	523696.481741	146.096451616	h	return	['a', 'k', 'h', 'l', 'i', 'x']
22	528430.509606	533226.363426	533747.794032	533408.27757	181.914144756	z	return	['r', 'b', 'h', 'a', 'z', 'o', 'j', 'd']
23	537983.011212	542779.491988	543302.221483	542944.130581	164.638593204	q	return	['r', 'z', 'm', 'p', 'q', 'j', 'k', 'w']
24	546798.763113	550667.147021	551112.736474	551071.988257	404.841235535	z	return	['u', 'p', 'z', 'o', 'c', 'v']
25	555598.721275	560394.765868	560918.196274	560655.806271	261.040402894	j	return	['o', 'b', 'v', 'i', 'j', 'z', 'a', 'g']
26	564989.710012	569310.851561	569776.333663	569775.572079	464.720517068	d	return	['s', 'a', 'l', 'd', 'x', 'v', 'm']
27	574574.434502	578442.605903	578885.727076	578767.341658	324.735754786	c	return	['q', 'l', 'c', 'h', 'g', 'm']
28	583293.691923	587615.093068	588512.303974	588511.198878	896.105809169	f	return	['s', 'w', 'h', 't', 'f', 'r', 'n', 'm']
29	592718.077162	596178.014158	596578.457646	596542.980749	364.966590518	s	return	['n', 's', 'c', 'j', 'r']
30	600301.63407	605097.291683	605619.942092	605438.854732	341.563049379	b	return	['j', 'p', 'e', 'r', 'b', 'a', 'd', 'n']
31	608327.04858	612650.56423	613116.26397	612670.657914	20.0936841954	z	return	['h', 'y', 'g', 'z', 'r', 'x', 'o']
32	617277.692017	621598.997776	622064.647709	621678.463019	79.4652430307	n	return	['m', 's', 'j', 'n', 'i', 'a', 'u']
33	626093.263709	630414.367526	630880.036476	630686.266916	271.899390008	i	return	['q', 'v', 'f', 'i', 'n', 'g', 't']
34	634444.889448	639772.730099	640329.43717	640286.180827	513.450727354	s	return	['e', 'q', 'j', 'i', 'k', 's', 'f', 'g', 't']
35	643948.31401	649275.192041	649832.870487	649565.884114	290.692072523	z	return	['y', 'r', 'l', 'f', 't', 'z', 'u', 'w', 'k']
36	653883.367161	657343.368755	657742.239872	657501.763748	158.394992562	z	return	['w', 'z', 'h', 'v', 'o']
37	661978.107855	667305.286836	667863.627857	667709.573863	404.28702693	m	return	['g', 'k', 'd', 'y', 'e', 'm', 'z', 'v', 'p']
38	672715.035957	677510.615087	678033.742128	677821.321154	310.706066592	d	return	['u', 'q', 'c', 's', 'd', 'e', 'n', 'z']
39	680886.251702	685207.334691	685672.453357	685309.129168	101.79447675	a	return	['e', 'v', 'o', 'a', 'r', 'k', 'w']
40	688532.494555	693328.407236	693850.787181	693564.981864	236.574628596	q	return	['f', 'i', 'n', 'y', 'q', 'o', 'c', 't']
41	696853.281724	701649.367671	702171.156581	701916.88833	267.520659061	q	return	['i', 'o', 'c', 'n', 'q', 'g', 'p', 'l']
42	705611.330427	710938.046058	711495.591989	711308.689363	370.64330458	r	return	['e', 'd', 'w', 'i', 'n', 'r', 'f', 'p', 'l']
43	714198.022115	718519.281086	718984.886647	718524.539427	5.25834089983	u	return	['x', 'k', 'e', 'u', 'w', 'p', 't']
44	722070.466598	726866.417615	727388.263878	726956.27759	89.8599747889	i	return	['n', 'm', 'r', 's', 'i', 'z', 'g', 'a']
45	730114.096036	734435.048019	734900.587775	734780.129207	345.081187334	f	return	['k', 'z', 'm', 'f', 'n', 'd', 'g']
