trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	216718.227788	222694.462925	223172.941459	223137.037737	442.574812124	k	k	['s', 'w', 'j', 'e', 'l', 'z', 'k', 'x', 'p', 'u']
2	231166.330197	236633.642756	237129.621725	236688.849902	55.2071460309	t	k	['b', 'n', 'q', 'a', 'k', 't', 'u', 'y', 'r']
3	241950.774141	247928.048268	248405.118038	247984.56849	56.5202219732	j	y	['c', 'v', 'u', 'n', 'e', 'y', 'j', 'g', 'q', 'i']
4	253614.085169	258594.83608	259074.532907	259072.305508	477.46942797	s	o	['j', 'v', 'c', 'o', 's', 'g', 'q', 'u']
5	262991.106099	268965.059804	269442.048072	269184.209764	219.149959913	d	g	['f', 'r', 'k', 'l', 'q', 'g', 'd', 'a', 'c', 's']
6	273390.644621	278367.468679	278846.526778	278735.886698	368.418018179	q	q	['p', 'e', 'd', 'u', 'q', 'm', 't', 'k']
7	285069.693543	290535.249297	291029.984919	290927.625971	392.376673493	q	h	['p', 'x', 'g', 'h', 'f', 'q', 'o', 'n', 'a']
8	294765.242548	301704.930706	302269.416016	302239.905314	534.974607828	z	z	['c', 'x', 'y', 'a', 'o', 'r', 'e', 'h', 'z', 'n', 'u', 'p']
9	307260.561357	313234.676253	313711.973623	313343.268841	108.592587852	q	q	['n', 'g', 'w', 'j', 'o', 'd', 'q', 'e', 'l', 'f']
10	318172.917914	322027.138714	322623.580369	322303.04374	275.905026274	m	k	['c', 'k', 'm', 'v', 'w', 'u']
11	329693.125398	333547.418342	334141.871366	333710.860376	163.442033885	x	return	['o', 'r', 'x', 't', 'k', 'j']
12	339614.075208	344071.493514	344585.33756	344286.543356	215.049842552	x	t	['t', 'h', 'l', 'x', 'f', 'b', 'y']
13	349533.952823	353387.916139	353981.747037	353710.357785	322.441645094	w	y	['y', 'o', 'w', 's', 'v', 'd']
14	357693.238293	361546.098323	362140.129653	361822.198349	276.100025597	z	n	['w', 'n', 'z', 'r', 'l', 'c']
15	365549.038708	369404.559	370000.628767	369534.05787	129.498869849	i	j	['o', 'w', 'i', 'v', 'd', 'q']
16	375771.291753	380228.790956	380742.896108	380621.866125	393.075169523	s	s	['m', 'h', 'p', 's', 'n', 'j', 'x']
17	386187.933164	390041.923647	390636.296075	390621.669919	579.746271468	c	c	['f', 'v', 'c', 'l', 'o', 'h']
18	396299.211068	400757.012731	401271.460491	400781.456168	24.4434369144	u	r	['z', 'c', 'r', 'u', 'l', 'i', 'x']
19	403899.137958	408357.271664	408871.075865	408717.249169	359.977505651	e	s	['u', 'r', 's', 'e', 'l', 'p', 'a']
20	413626.317604	417483.337519	418077.562038	417965.053163	481.715643896	s	e	['b', 'e', 's', 'k', 'a', 'p']
21	423018.826189	426874.862957	427471.19534	426876.93641	2.07345256262	t	e	['b', 'e', 't', 'l', 'n', 'r']
22	431083.543929	434939.715929	435536.477552	435261.099869	321.383939783	s	s	['x', 'g', 's', 'm', 'f', 'u']
23	438619.02958	442474.064184	443068.618934	442700.519374	226.455190001	w	n	['f', 'n', 'w', 'z', 'y', 'e']
24	446793.988346	450650.857635	451247.139004	450796.378144	145.520509341	g	p	['z', 'p', 'g', 'q', 'j', 't']
25	454250.214318	458104.342448	458699.319796	458524.306998	419.964549968	v	t	['w', 't', 'v', 'o', 'e', 'q']
26	461721.457955	466181.013405	466694.661546	466316.060096	135.046691169	r	r	['m', 't', 'x', 'r', 'f', 'e', 's']
27	470057.293578	475524.108376	476019.074013	475915.830021	391.721644804	c	j	['n', 'w', 'e', 'k', 'j', 'c', 'd', 'm', 'a']
28	479978.39975	484438.376893	484953.665625	484779.716569	341.33967554	e	c	['s', 'c', 'g', 'e', 'p', 'd', 'r']
29	489945.144215	495416.837618	495911.92279	495723.485525	306.647907289	u	y	['w', 'm', 's', 'a', 'y', 'u', 'p', 'n', 'f']
30	499786.457931	504244.057652	504757.322436	504651.400071	407.342418813	c	c	['p', 'z', 'a', 'c', 'v', 'b', 'k']
31	509674.276269	515141.280632	515636.792328	515259.04664	117.766008056	x	e	['r', 'i', 'j', 'm', 'e', 'x', 'o', 'g', 'b']
32	518505.962572	523482.965028	523961.177929	523738.880209	255.915180727	f	a	['v', 'l', 'c', 'a', 'f', 'w', 'b', 'm']
33	531353.43718	535207.636246	535804.937588	535674.62763	466.991383807	k	k	['t', 'u', 'k', 's', 'y', 'q']
34	538825.535071	542679.624865	543276.226503	542682.496728	2.87186310685	a	p	['w', 'p', 'a', 'd', 'f', 'h']
35	547175.782231	551633.958498	552147.412244	552090.45101	456.492511543	j	m	['h', 't', 'm', 'j', 'w', 'o', 'z']
36	555688.13088	560147.021944	560660.765472	560154.565339	7.54339489585	f	u	['t', 'u', 'o', 'f', 'j', 'n', 'g']
37	570183.133645	575162.895372	575643.653527	575369.907982	207.012610359	u	u	['z', 's', 't', 'q', 'u', 'v', 'k', 'd']
38	579256.294614	584724.366041	585219.821289	585145.615896	421.249855109	r	w	['t', 'j', 'p', 'h', 'w', 'r', 'i', 'q', 'u']
39	588073.056527	592531.614039	593045.172831	592905.530676	373.916636884	h	d	['n', 'j', 'd', 'h', 'z', 'i', 'g']
40	596581.970652	601038.731212	601552.552921	601145.343621	106.61240896	m	q	['x', 'v', 'q', 'm', 'z', 'y', 'e']
41	604982.726561	608839.288862	609433.891607	609321.057935	481.769072504	q	a	['a', 'c', 'q', 'y', 'z', 'o']
42	613910.935719	617351.64053	617756.246921	617689.064824	337.42429438	e	d	['d', 'e', 'u', 'o', 'j']
43	624406.507484	628261.999401	628856.810729	628712.913604	450.914202712	y	w	['w', 'q', 'y', 'z', 'j', 'c']
44	631524.992212	635982.197709	636496.774361	636008.582989	26.3852800262	f	g	['l', 'g', 'r', 'f', 's', 'o', 'x']
45	639494.178999	643951.355215	644465.441049	644024.423213	73.0679974112	u	c	['c', 'h', 'o', 'u', 'n', 'a', 'k']
